69	69	76	284	524	691	779	795	795	795	779	691	524	284	76	69
82	82	180	439	615	754	782	754	732	754	782	754	615	439	180	82
95	104	312	555	704	751	732	650	606	650	732	751	704	555	312	104
110	240	454	618	710	697	618	492	426	492	618	697	710	618	454	240
120	338	530	644	694	644	521	366	293	366	521	644	694	644	530	338
148	372	552	647	678	612	473	312	243	312	473	612	678	647	552	372
123	338	521	634	681	628	508	357	284	357	508	628	681	634	521	338
114	237	435	599	688	669	596	476	413	476	596	669	688	599	435	237
98	98	300	527	663	719	704	631	590	631	704	719	663	527	300	98
85	85	177	420	590	726	754	729	710	729	754	726	590	420	177	85
69	69	76	274	514	678	767	782	782	782	767	678	514	274	76	69
63	63	63	218	476	644	760	798	801	798	760	644	476	218	63	63
