-2.7	-3.8	-5.0	-6.1	-4.4	-2.2	1.1	5.0	6.6	5.0	1.1	-2.2	-4.4	-6.1	-5.0	-3.8	-8.3
-2.7	-3.3	-3.8	-4.4	-2.2	-1.1	2.2	4.4	6.1	4.4	2.2	-1.1	-2.2	-4.4	-3.8	-3.3	-5.5
-1.6	-2.2	-2.2	-2.2	-1.1	-0.5	1.6	2.7	3.8	2.7	1.6	-0.5	-1.1	-2.2	-2.2	-2.2	-2.7
-1.1	-1.1	-0.5	-1.1	0	-0.5	0	0.5	0.5	0.5	0	-0.5	0	-1.1	-0.5	-1.1	-0.5
0.5	0.5	0.5	0	0	-0.5	-0.5	-1.6	-1.6	-1.6	-0.5	-0.5	0	0	0.5	0.5	0.5
0.5	1.1	1.1	0.5	0	-1.1	-1.1	-2.2	-2.2	-2.2	-1.1	-1.1	0	0.5	1.1	1.1	1.1
0.5	0.5	0.5	0	0	-0.5	-0.5	-1.6	-1.6	-1.6	-0.5	-0.5	0	0	0.5	0.5	0.5
-1.1	-1.1	-0.5	-1.1	0	-0.5	0	0.5	0.5	0.5	0	-0.5	0	-1.1	-0.5	-1.1	-0.5
-1.6	-2.2	-2.2	-2.2	-1.1	-0.5	1.6	2.7	3.8	2.7	1.6	-0.5	-1.1	-2.2	-2.2	-2.2	-2.7
-2.2	-3.3	-3.8	-4.4	-2.2	-1.1	2.2	4.4	6.1	4.4	2.2	-1.1	-2.2	-4.4	-3.8	-3.3	-5.5
-2.7	-3.8	-5	-6.1	-4.4	-2.2	1.1	5	6.6	5	1.1	-2.2	-4.4	-6.1	-5	-3.8	-8.3
-2.7	-3.8	-5.5	-6.1	-4.4	-2.7	1.1	5	6.6	5	1.1	-2.7	-4.4	-6.1	-5.5	-3.8	-9.4
